iter	RMSE
0	68924.86483
1	68167.33715
2	67426.84958
3	66790.24374
4	66209.44249
5	65657.60682
6	65155.35295
7	64682.84093
8	64263.01248
9	63877.74834
10	63532.65813
11	63194.73822
12	62898.77729
13	62607.96622
14	62360.52587
15	62147.49955
16	61933.60924
17	61747.05707
18	61581.68173
19	61436.20514
20	61287.15633
21	61142.4333
22	61004.76546
23	60912.96006
24	60809.50662
25	60713.02325
26	60625.0891
27	60543.38223
28	60470.30047
29	60416.00371
30	60346.72687
31	60293.18858
32	60228.33157
33	60162.26378
34	60112.04314
35	60087.4754
36	60047.19906
37	59999.4038
38	59956.37356
39	59919.6985
40	59886.7532
41	59854.15341
42	59828.56319
43	59797.33091
44	59775.6887
45	59748.56134
46	59729.66135
47	59701.91343
48	59683.11271
49	59659.11143
50	59633.54967
51	59616.51507
52	59601.20121
53	59586.01796
54	59575.71543
55	59563.49673
56	59555.83892
57	59542.21301
58	59533.21058
59	59517.97181
60	59501.8688
61	59492.16198
62	59480.69817
63	59472.20546
64	59464.94502
65	59459.14261
66	59449.66798
67	59435.67478
68	59430.21071
69	59418.80581
70	59411.89829
71	59406.76722
72	59397.30372
73	59392.69327
74	59387.45973
75	59381.83114
76	59375.72912
77	59369.64867
78	59363.70772
79	59359.1856
80	580	59342.3781	581	59331.1882	582	59326.183	5983	59322.284	5984	59314.085	5985	59305.586	586	59302.5387	87	59300.02288	88	59297.3688989	59290.03749090	59285.31159191	59283.135
92	59279.20417
93	59274.25274
94	59267.70762
95	59264.34786
96	59258.99429
97	59250.35396
98	59246.21417
99	59243.56853
100	59239.3355
101	59235.70466
102	59233.70623
103	59231.02624
104	59225.42326
105	59221.69878
106	59218.08071
107	59211.48509
108	59208.08251
109	59203.26043
110	59199.38887
111	59195.14106
112	59190.23819
113	59186.01792
114	59184.28856
115	59181.20262
116	59177.405
117	59174.93273
118	59170.69153
119	59167.31308
120	59163.77719
121	59162.95548
122	59160.72044
123	59157.90445
124	59156.75442
125	59155.30341
126	59152.4415
127	59150.92628
128	59148.27547
129	59146.96937
130	59144.618
131	59142.46265
132	59140.98943
133	59137.02319
134	59135.85666
135	59133.08761
136	59130.15889
137	59129.23213
138	59125.72207
139	59122.53653
140	59120.76633
141	59118.55178
142	59114.51788
143	59112.52436
144	59111.04691
145	59109.43073
146	59106.87747
147	59105.59095
148	59105.0247
149	59101.15178
150	59098.34429
151	59096.69236
152	59095.9592
153	59092.24465
154	59091.19241
155	59088.93561
156	59088.82467
157	59086.08394
158	59083.77035
159	59082.88463
160	59082.62291
161	59081.47924
162	59081.17678
163	59079.06845
164	59078.80008
165	59077.67806
166	59075.5857
167	59073.20725
168	59071.15799
169	59069.26504
170	59066.84172
171	59065.49242
172	59062.84743
173	59061.58683
174	59058.0692
175	59053.97505
176	59050.7198
177	59049.48675
178	59047.91148
179	59045.94782
180	59044.96836
181	59043.48213
182	59042.20697
183	59040.09987
184	59036.70653
185	59035.25693
186	59032.56969
187	59031.9128
188	59028.78022
189	59025.74684
190	59024.2954
191	59023.47439
192	59022.17976
193	59020.78032
194	59019.76109
195	59016.6828
196	59015.88687
197	59013.04806
198	59011.01998
199	59009.63983
200	59006.65336
201	59005.0763
202	59002.99393
203	59000.90656
204	58999.6983
205	58998.32529
206	58995.94613
207	58993.32767
208	58989.89471
209	58987.75874
210	58986.56573
211	58983.62212
212	58982.23845
213	58980.32901
214	58978.17423
215	58977.10252
216	58976.08795
217	58974.48303
218	58972.44091
219	58970.46824
220	58969.15006
221	58967.44426
222	58965.92156
223	58963.73453
224	58962.00542
225	58960.32611
226	58958.30467
227	58956.71673
228	58955.37211
229	58953.82769
230	58952.37688
231	58951.08185
232	58948.59192
233	58946.2319
234	58943.99786
235	58943.26455
236	58939.81114
237	58938.60501
238	58937.20665
239	58936.28903
240	58935.33544
241	58932.86019
242	58930.51812
243	58928.65238
244	58926.29778
245	58924.22115
246	58922.82067
247	58921.39111
248	58919.80562
249	58919.07016
250	58917.4541
251	58915.85362
252	58914.43596
253	58913.17536
254	58910.78128
255	58909.85358
256	58908.67406
257	58907.67024
258	58906.08553
259	58904.42868
260	58903.71176
261	58902.33869
262	58901.32354
263	58900.16026
264	58898.94783
265	58897.14242
266	58896.23365
267	58895.08796
268	58893.20075
269	58890.96038
270	58890.26674
271	58888.922
272	58887.40014
273	58885.8807
274	58884.96318
275	58883.88133
276	58882.6824
277	58882.24396
278	58881.26506
279	58880.21365
280	58877.61256
519
