iter	Passed	Remaining
0	9	2648
1	21	2950
2	29	2772
3	39	2734
4	50	2780
5	63	2895
6	71	2790
7	82	2801
8	92	2808
9	101	2755
10	111	2736
11	120	2707
12	131	2715
13	143	2732
14	153	2719
15	163	2714
16	174	2710
17	183	2680
18	195	2695
19	206	2699
20	217	2696
21	227	2675
22	238	2674
23	247	2649
24	259	2652
25	267	2625
26	279	2630
27	290	2621
28	299	2601
29	309	2588
30	319	2573
31	328	2556
32	338	2540
33	348	2531
34	357	2513
35	366	2494
36	375	2473
37	387	2475
38	397	2468
39	409	2469
40	419	2454
41	430	2448
42	439	2432
43	451	2430
44	459	2412
45	470	2405
46	480	2394
47	490	2381
48	500	2370
49	511	2364
50	520	2349
51	530	2335
52	540	2323
53	550	2315
54	562	2310
55	572	2298
56	584	2295
57	594	2286
58	605	2276
59	614	2263
60	626	2258
61	635	2243
62	647	2241
63	658	2231
64	667	2218
65	676	2204
66	688	2200
67	697	2185
68	709	2178
69	717	2162
70	728	2155
71	734	2133
72	745	2123
73	754	2111
74	762	2095
75	773	2087
76	783	2076
77	794	2066
78	803	2055
79	815	2047
880	885	2185881	898	2179882	924	2205883	948	2225884	966	2227885	978	2217886	995	2218887	1004	2208888	1013	2189	89	1022	290	990	1031	91	9791	104092	98692	10593	994	93	1094	1003	94	1095	1013	95	1096	1020	96	1097	1030	97	1098	1039	98	1199	1049	99	1118	2024
100	1129	2012
101	1139	2000
102	1150	1988
103	1163	1980
104	1173	1967
105	1185	1957
106	1193	1941
107	1205	1930
108	1213	1915
109	1225	1904
110	1235	1891
111	1245	1878
112	1254	1865
113	1263	1850
114	1272	1836
115	1281	1822
116	1289	1807
117	1300	1796
118	1309	1782
119	1319	1769
120	1328	1756
121	1337	1742
122	1346	1729
123	1355	1715
124	1363	1701
125	1372	1688
126	1382	1676
127	1393	1665
128	1403	1653
129	1412	1640
130	1422	1629
131	1433	1617
132	1444	1607
133	1453	1594
134	1463	1583
135	1474	1572
136	1485	1561
137	1495	1549
138	1508	1540
139	1518	1528
140	1529	1518
141	1540	1507
142	1551	1496
143	1563	1487
144	1575	1477
145	1584	1464
146	1594	1453
147	1606	1443
148	1615	1431
149	1627	1420
150	1637	1409
151	1647	1397
152	1657	1386
153	1668	1375
154	1677	1363
155	1688	1352
156	1693	1337
157	1705	1327
158	1716	1317
159	1725	1304
160	1735	1293
161	1745	1282
162	1756	1271
163	1768	1261
164	1774	1247
165	1786	1237
166	1795	1225
167	1805	1214
168	1815	1202
169	1825	1192
170	1835	1180
171	1847	1170
172	1856	1159
173	1866	1148
174	1877	1137
175	1887	1125
176	1898	1115
177	1907	1103
178	1919	1093
179	1928	1082
180	1939	1071
181	1949	1060
182	1960	1049
183	1969	1038
184	1982	1028
185	1993	1017
186	2002	1006
187	2012	995
188	2023	985
189	2034	974
190	2044	963
191	2052	951
192	2062	940
193	2070	928
194	2079	917
195	2088	905
196	2097	894
197	2106	883
198	2115	871
199	2124	860
200	2132	848
201	2141	837
202	2149	826
203	2158	814
204	2167	803
205	2176	792
206	2184	781
207	2192	769
208	2202	758
209	2209	747
210	2218	736
211	2227	724
212	2234	713
213	2242	702
214	2252	691
215	2260	680
216	2269	669
217	2277	658
218	2285	647
219	2293	636
220	2302	625
221	2311	614
222	2320	603
223	2329	592
224	2338	582
225	2347	571
226	2355	560
227	2364	549
228	2372	538
229	2380	527
230	2390	517
231	2398	506
232	2407	496
233	2416	485
234	2424	474
235	2433	464
236	2442	453
237	2450	442
238	2459	432
239	2467	421
240	2476	411
241	2485	400
242	2493	390
243	2501	379
244	2510	368
245	2518	358
246	2527	347
247	2536	337
248	2545	327
249	2554	316
250	2561	306
251	2570	295
252	2578	285
253	2586	274
254	2595	264
255	2604	254
256	2612	243
257	2621	233
258	2629	223
259	2637	213
260	2645	202
261	2654	192
262	2662	182
263	2671	172
264	2678	161
265	2687	151
266	2696	141
267	2703	131
268	2713	121
269	2720	110
270	2726	100
271	2733	90
272	2740	80
273	2746	70
274	2756	60
275	2767	50
276	2773	40
277	2778	29
278	2784	19
279	2789	9
280	2796	0
